File                                         ac   type    wt   value
players/feldegast/arena/equip/amulet#7930    0    amulet  1    150    
players/feldegast/arena/equip/boots#7932     1    boots   1    100    
players/feldegast/arena/equip/cloak#7937     1    misc    1    100    
players/feldegast/arena/equip/gauntlet#7938  1    ring    1    75     
players/feldegast/arena/equip/helmet#7939    1    helmet  2    125    
players/feldegast/arena/equip/mail#7940      3    armor   5    700    
players/feldegast/arena/equip/shield#7941    1    shield  3    200    
players/pain/NEW/arm/armor#7949              1    shield  1    250    
players/pain/NEW/arm/boots#7950              1    boots   2    500    
players/pain/NEW/arm/bplate#7951             3    armor   3    750    
players/pain/NEW/arm/gloves#7975             1    ring    1    250    
players/pain/NEW/arm/helm#7976               1    helmet  2    500    
players/pain/NEW/arm/helm2#7977              2    helmet  5    1500   
players/pain/NEW/arm/hood#7978               1    misc    1    1000   
players/pain/NEW/arm/pmail#7979              3    armor   4    4500   
players/pain/NEW/arm/tunic#7981              1    misc    1    300    
players/saber/armor/amuletpro#8013           2    amulet  1    2000   
players/saber/armor/arateam#8014             1    amulet  1    300    
players/saber/armor/aura#8035                1    misc    6    7000   
players/saber/armor/blackcloak#8036          0    misc    2    50     
players/saber/armor/blackcloak2#8037         1    misc    1    500    
players/saber/armor/bluecloak#8038           1    misc    1    150    
players/saber/armor/bracerpro#8041           4    armor   1    2000   
players/saber/armor/bracers#8042             2    ring    1    500    
players/saber/armor/bshield#8043             1    shield  2    50     
players/saber/armor/cbikini#8044             3    armor   1    150    
players/saber/armor/chainmail#8045           3    armor   4    700    
players/saber/armor/chaosarmor#8046          4    armor   3    1000   
players/saber/armor/choker#8050              0    amulet  1    50     
players/saber/armor/crusifix#8052            1    amulet  1    1000   
players/saber/armor/dark_chainmail#8053      4    armor   1    1000   
players/saber/armor/dchain#8054              4    armor   3    400    
players/saber/armor/dhelmet#8092             1    helmet  1    75     
players/saber/armor/dragonarmor#8109         5    armor   10   6000   
players/saber/armor/dragonhelm#8110          2    helmet  2    2000   
players/saber/armor/dshades#8111             1    helmet  1    500    
players/saber/armor/dshield#8113             1    shield  2    100    
players/saber/armor/fmask#8114               1    helmet  1    10     
players/saber/armor/fuzjacket#8119           3    armor   3    300    
players/saber/armor/halfchain#8120           3    armor   2    500    
players/saber/armor/halfchain2#8138          2    armor   3    300    
players/saber/armor/halter#8139              1    amulet  1    100    
players/saber/armor/hardsuit1#8140           4    armor   3    1000   
players/saber/armor/lboots#8150              1    boots   1    50     
players/saber/armor/lgloves#8151             1    ring    1    50     
players/saber/armor/ljacket#8153             1    armor   2    50     
players/saber/armor/lpants#8155              1    misc    1    300    
players/saber/armor/medallion#8156           1    amulet  1    500    
players/saber/armor/mshades#8157             1    helmet  1    50     
players/saber/armor/mshield#8158             1    magic   0    0      
players/saber/armor/ringmail#8160            3    armor   3    300    
players/saber/armor/ringpro#8161             1    ring    1    100    
players/saber/armor/shades#8163              1    helmet  1    50     
players/saber/armor/skinleather#8168         1    armor   2    300    
players/saber/armor/slboots#8169             1    boots   2    50     
players/saber/armor/smile#8170               1    helmet  1    75     
players/saber/armor/stdleather#8171          3    armor   2    300    
players/saber/armor/teddy#8174               2    armor   0    150    
players/saber/armor/wshield#8175             1    shield  2    50     
players/wocket/turtleville/OBJ/shellamulet#811    amulet  1    1000   
players/wocket/turtleville/OBJ/shellboots#8191    boots   1    1000   
players/wocket/turtleville/OBJ/shellhelmet#811    helmet  1    1000   
players/wocket/turtleville/OBJ/shellmail#81924    armor   3    3000   
players/wocket/turtleville/OBJ/shellring#81931    ring    1    1000   
players/wocket/turtleville/OBJ/shellsash#81941    misc    1    1000   
players/wocket/turtleville/OBJ/shellshield#811    shield  1    1000   
players/mythos/aarmor/hara-ate#8208          3    armor   4    110    
players/mythos/aarmor/haramaki#8210          1    amulet  1    60     
players/mythos/aarmor/kabuto#8219            1    helmet  1    30     
players/mythos/aarmor/kote#8221              1    ring    1    30     
players/mythos/aarmor/mempo#8222             1    shield  1    20     
players/mythos/aarmor/nodowa#8223            1    amulet  1    20     
players/mythos/aarmor/prote#8224             1    field   0    0      
