gaston         14   healer         AM14-6.Fairmont-WV.Mountain.Ne198.77.23.105       
blacksmyth     14   healer         AM14-33.Fairmont-WV.Mountain.Net        198.77.23.132       
alanna         22   0              lyrical.cland.net                       206.29.106.61       
lilia          40   vampire        lyrical.cland.net                       206.29.106.61       
larisa         40   Knights Templarlyrical.cland.net                       206.29.106.61       
jebuly         37   Knights Templaruar176162.columbus.rr.com               206.156.176.162     
dianne         11   Knights Templarwvnvaxa.wvnet.edu                       129.71.2.1          
sandman        10001paladin        AM2-26.Morgantown-WV.Mountain.Net       198.77.1.228        
zoltan         27   0              AM14-17.Fairmont-WV.Mountain.Net        198.77.23.116       
arrina         214  cyberninja     s69.cmaster.com                         199.190.80.69       
usagi          40   0              latte.spl.org                           209.63.95.110       
cross          36   polymorph      s85.pm1.cmaster.com                     206.162.81.85       
arrina         214  cyberninja     s69.cmaster.com                         199.190.80.69       
chance         5    polymorph      1Cust128.tnt2.durham.nc.da.uu.net       153.37.238.128      
snakespear     129  vampire        digital-152.horizons.net                208.197.220.152     
thaed          37   vampire        digital-154.horizons.net                208.197.220.154     
jenny          40   cyberninja     enh5-p119.modems.tdi.net                204.157.66.119      
boltar         10002Knights Templaras5111.dialup.iit.edu                   198.87.167.52       
pain           10200vampire        satan.obs.net                           168.129.4.117       
dazed          18   0              host-209-214-102-16.lft.bellsouth.net   209.214.102.16      
chips          10   rangers        dialup-1-171.orbitworld.net             208.224.132.171     
rainbow        5    0              dialup-1-171.orbitworld.net             208.224.132.171     
feldegast      100  healer         AM14-6.Fairmont-WV.Mountain.Net         198.77.23.105       
seductress     18   mage           clem.mscd.edu                           147.153.1.3         
noelle         6    0              clem.mscd.edu                           147.153.1.3         
dragonstar     1    0              uar176162.columbus.rr.com               206.156.176.162     
terral         22   0              lyrical.cland.net                       206.29.106.61       
maverick       13   0              galileo.concentric.net                  206.173.119.84      
lebonan        11   rangers        dial173.el.arq.net                      207.57.65.173       
happy          5    polymorph      VAX1.Mankato.MSUS.EDU                   134.29.1.2          
hal            4    polymorph      VAX1.Mankato.MSUS.EDU                   134.29.1.2          
tanis          1    0              VAX1.Mankato.MSUS.EDU                   134.29.1.2          
armadillo      22   vampire        hamlet.uncg.edu                         152.13.2.74         
cosmo          162  gangster       137.51.125.12                           137.51.125.12       
eurale         122  vampire        gfn.org                                 207.73.176.36       
magus          40   vampire        gfn.org                                 207.73.176.36       
sire           37   cyberninja     gfn.org                                 207.73.176.36       
mythos         705  cyberninja     shakti.cc.trincoll.edu                  157.252.10.250      
priest         24   0              shakti.cc.trincoll.edu                  157.252.10.250      
isis           16   polymorph      dyn-129-139.redmond.cnw.net             207.149.129.139     
echo           19   0              modem-1401.rns.tamu.edu                 165.91.69.184       
nikki          42   0              1Cust12.tnt1.durham.nc.da.uu.net        153.37.236.12       
