player's exp as of Dec 9 19:12:04 1998

puck 11049
    age:    9 hours 51 minutes 34 seconds.
nepthys 10000
    age:    4 days 3 hours 25 minutes 58 seconds
ops 10645
    age:    21 hours 10 minutes 24 seconds
Thu Dec 10 15:30:06 1998 seijin   6393
    age:    6 hours 54 minutes 58 seconds
Thu Dec 10 22:57:34 1998 eevee   8412
    age:    1 days 10 hours 37 minutes 34 seconds
Fri Dec 11 11:31:06 1998 spiral   6046
    age:    11 days 7 hours 25 minutes 48 seconds
Fri Dec 11 13:19:19 1998 kanyon   10000
    age:    5 hours 38 minutes 30 seconds
Sat Dec 12 10:03:49 1998 yoda   7552
    age:    9 hours 46 minutes 58 seconds
Sun Jan  3 23:31:39 1999 dymon   7630
Mon Jan  4 04:00:05 1999 orlanth   10000
Mon Jan  4 04:14:24 1999 alina   10000
Mon Jan  4 10:45:38 1999 newkil   10000
Tue Jan  5 02:23:11 1999 amoril   10000
Tue Jan  5 20:32:13 1999 buffy   9021
Tue Jan  5 20:37:54 1999 lace   10000
Wed Jan  6 00:28:15 1999 chaplain   8698
Wed Jan  6 01:21:00 1999 treip   8753
Wed Jan  6 11:06:35 1999 aquinas   7478
Wed Jan  6 17:37:21 1999 belk   10000
Wed Jan  6 19:03:46 1999 korn   10000
Thu Jan  7 10:00:31 1999 jaylor   7728
Thu Jan  7 11:14:37 1999 greymagus   10000
Thu Jan  7 21:40:54 1999 constant   9816
Fri Jan  8 00:54:07 1999 luminous   6650
Fri Jan  8 01:21:39 1999 apothecary   10000
Fri Jan  8 23:22:30 1999 tim   10000
Sat Jan  9 03:17:44 1999 jennie   10000
Sat Jan  9 09:04:26 1999 tyo   8131
Sat Jan  9 13:37:47 1999 rebel   10000
Mon Jan 11 17:03:12 1999 cosette   10000
Mon Jan 11 17:04:12 1999 dupre   10000
Wed Jan 13 17:26:07 1999 uriel   5910
Fri Jan 15 15:38:36 1999 lugh   10000
Sun Jan 17 12:01:45 1999 horror   5885
Mon Jan 18 00:26:54 1999 angel   7562
Mon Jan 18 16:02:28 1999 chretien   10000
Tue Jan 19 12:00:35 1999 lebonan   10000
Wed Jan 20 21:56:22 1999 quin   5965
Thu Jan 21 09:50:47 1999 lebonan   6469
Fri Jan 22 13:01:46 1999 windsor   6056
Sat Jan 23 08:27:14 1999 ducky   9930
