Wizard	         	Area			Directions
Persephone 	- Portal of Fate		- w, enter portal, newbie
Blue	    	- Castle Of Mael	               	- 4w, 2n, enter castle
Languilen	    	- Blue Doorway	               	- 4w, 3n, e, enter doorway, funhouse
Jenny	    	- Strange Portal	               	- 4w, 5n, enter portal (low to high levels)
Tristian	    	- Forest of Magical Origins 	-  6w, 3s, 2w, s
Airwoman	    	- Fountainhead	               	- 6w, 3s, enter fountainhead
Hurtbrain	    	- Time Machine	               	- 4w, 4n, enter machine (2 areas, 1 newbie)
Hogath	    	- Rift In Space	               	- 4w, 6n, enter rift, s
Boltar	    	- Santa's Workshop             	- 6w, 5n, up
Catt	    	- Zombiland	                  - e, n, tunnel
Dersharp	    	- Pillars of Peril	               	- 6w, 3s, 5w, s
Angel		-School			- e,3s, enter, heli
Gemini		- Gemini's area		- 2e, n, w, punch donkey
Nightshade	- Imp Land		- 3e, d, enter portal, 2s, 4e, n
Scathe		- House of Newbie Horrors	- 9e, s, 2d, s
Star		- Overlook Hotel		- 6w,3s,4w,5s,enter hole (low to mid-level)
Linus		- Hank the Trader		- 6w,3s,4w,6s
Jamila		- Sea Creature		-  7e, 3s, touch sponge
Humble		- Bucket of Sand		- 6w,3s,4w,9s 	

