"Thu Jun 16 16:54:49 2011","mizan","players/mizan/opl/heals/superburrito.c","1000","players/mizan/opl/environs/vending-machine-hotfood#7136"
"Fri Jun 17 02:39:50 2011","marek","players/mizan/opl/heals/cloacacola.c","2000","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 02:39:54 2011","marek","players/mizan/opl/heals/cloacacola.c","2000","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 02:39:54 2011","marek","players/mizan/opl/heals/cloacacola.c","2000","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 02:39:54 2011","marek","players/mizan/opl/heals/cloacacola.c","2000","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 02:40:06 2011","equilibrium","players/mizan/opl/heals/baturine.c","1200","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 02:44:36 2011","marek","players/mizan/opl/heals/baturine.c","1200","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 02:47:46 2011","equilibrium","players/mizan/opl/heals/cloacacola.c","2000","players/mizan/opl/environs/lemonade-stand#14108"
"Fri Jun 17 04:39:09 2011","marek","players/mizan/opl/heals/jellydonut.c","1000","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:09 2011","marek","players/mizan/opl/heals/jellydonut.c","1000","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:09 2011","marek","players/mizan/opl/heals/jellydonut.c","1000","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:09 2011","marek","players/mizan/opl/heals/jellydonut.c","1000","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:27 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:29 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:29 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:29 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:31 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:31 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:33 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:33 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:33 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:39:43 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:21 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:21 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:21 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:23 2011","equilibrium","players/mizan/opl/heals/energybar_hotgarbage.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:25 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:27 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:27 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:27 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
"Fri Jun 17 04:40:27 2011","equilibrium","players/mizan/opl/heals/energybar_diaper.c","1800","players/mizan/opl/environs/vending-machine-junkfood#15397"
