Lev	Exp	Old	New	Benefit
19+21   11111111 2777778 3011111 -233333
19+20   10000000 2500000 2700000 -200000
19+19	9000000	2250000	2100000	150000
19+18	8100000	2025000	1500000	525000
19+17	7300000	1825000	1000000	825000
19+16	6900000	1725000	900000	825000
19+15	6600000	1650000	900000	750000
19+14	6300000	1575000	900000	675000
19+13	6000000	1500000	900000	600000
19+12	5700000	1425000	900000	525000
19+11	5400000	1350000	900000	450000
19+10	5100000	1275000	900000	375000
19+9	4800000	1200000	900000	300000
19+8	4500000	1125000	900000	225000
19+7	4200000	1050000	900000	150000
19+6	3900000	975000	1000000	-25000
19+5	3600000	900000	900000	0
19+4	3300000	825000	800000	25000
19+3	2900000	725000	400000	325000
19+2	2700000	675000	1659972	-984972
19+1	2500000	625000	1459972	-834972
19	2000000	500000	959972	-459972
18	1367106	341777	547078	-205302
17	1040028	260007	420002	-159995
16	820028	205007	327734	-122727
15	620026	155007	324434	-169428
14	492294	123074	296703	-173630
13	295592	73898	160594	-86696
12	195591	48898	105591	-56693
11	134998	33750	75003	-41254
10	90000	22500	50007	-27507
9	59995	14999	33333	-18334
8	39993	9998	27181	-17183
7	26662	6666	20777	-14112
6	12812	3203	10480	-7277
5	5885	1471	4114	-2643
4	2332	583	1318	-735
3	1771	443	1771	-1328
2	1014	254	1014	-761
1	0	0	0	0

